id,Kabupaten_,REGION_NEW,CITY_NEW,HIR_AREA
1,AGAM,REGION 6,AGAM,AGAM
3,BADUNG,REGION 4,DENPASAR,BADUNG
7,BANGKABARAT,_no_reg,_no_city,_no_hir_area
8,BANGKASELATAN,_no_reg,_no_city,_no_hir_area
9,BANGKALAN,_no_reg,_no_city,_no_hir_area
10,BANGLI,REGION 4,BANGLI,GIANYAR
11,BANJARNEGARA,REGION 3,PURWOKERTO,PURWOKERTO
12,BANTAENG,_no_reg,_no_city,_no_hir_area
14,BANYUMAS,REGION 3,PURWOKERTO,PURWOKERTO
15,BANYUWANGI,REGION 4,BANYUWANGI,BANYUWANGI
16,BARITOKUALA,REGION 5,BANJARMASIN,BANJARMASIN
17,BARITOSELATAN,_no_reg,_no_city,_no_hir_area
18,BARITOTIMUR,_no_reg,_no_city,_no_hir_area
19,BARITOUTARA,_no_reg,_no_city,_no_hir_area
20,BARRU,_no_reg,_no_city,_no_hir_area
21,BATANG,REGION 3,PEKALONGAN,PEKALONGAN
22,BELITUNG,REGION 7,PANGKAL PINANG,PANGKAL PINANG
23,BELITUNGTIMUR,_no_reg,_no_city,_no_hir_area
24,BELU,_no_reg,_no_city,_no_hir_area
25,BENGKULUUTARA,REGION 7,BENGKULU,BENGKULU
26,BERAU,_no_reg,_no_city,_no_hir_area
27,BIAKNUMFOR,_no_reg,_no_city,_no_hir_area
29,BLITAR,REGION 4,KEDIRI,BLITAR
30,BLORA,_no_reg,_no_city,_no_hir_area
32,BOJONEGORO,REGION 4,LAMONGAN,LAMONGAN
33,BONDOWOSO,REGION 4,BONDOWOSO,JEMBER
34,BONEBOLANGO,REGION 5,GORONTALO,GORONTALO
35,BREBES,REGION 3,TEGAL,TEGAL
36,BULELENG,REGION 4,BULELENG,BULELENG
37,BULUKUMBA,_no_reg,_no_city,_no_hir_area
39,CIANJUR,REGION 2,CIANJUR,GARUT
40,CILACAP,REGION 3,PURWOKERTO,PURWOKERTO
41,CIREBON,REGION 2,CIREBON,CIREBON BARAT
42,DEMAK,REGION 3,SEMARANG,SEMARANG
44,DONGGALA,REGION 5,PALU,DONGGALA
46,GIANYAR,REGION 4,DENPASAR,GIANYAR
47,GOWA,REGION 5,MAKASSAR,GOWA
48,GRESIK,REGION 4,GRESIK,GRESIK
49,GROBOGAN,REGION 3,GROBOGAN,SEMARANG
